,The Secret Life of Pets 2,Standard,PG,6/22/19,"9:30 a.m., 11:40 a.m., 1:50 p.m., 4 p.m., 6:15 p.m., 8:30 p.m."
,The Secret Life of Pets 2,Standard,PG,6/22/19,"9:30 a.m., 11:40 a.m., 1:50 p.m., 4 p.m., 6:15 p.m., 8:30 p.m."
,The Secret Life of Pets 2,Standard,PG,6/23/19,"9:30 a.m., 11:40 a.m., 1:50 p.m., 4 p.m., 6:15 p.m., 8:30 p.m."
,The Secret Life of Pets 2,Standard,PG,6/23/19,"9:30 a.m., 11:40 a.m., 1:50 p.m., 4 p.m., 6:15 p.m., 8:30 p.m."
,The Souvenir,Standard,R,6/21/19,"9:40 a.m., 2:25 p.m., 7:15 p.m."
,The Souvenir,Standard,R,6/21/19,"9:40 a.m., 2:25 p.m., 7:15 p.m."
,The Souvenir,Standard,R,6/22/19,"9:40 a.m., 2:25 p.m., 7:15 p.m."
,The Souvenir,Standard,R,6/22/19,"9:40 a.m., 2:25 p.m., 7:15 p.m."
,The Souvenir,Standard,R,6/23/19,"9:40 a.m., 2:25 p.m., 7:15 p.m."
,The Souvenir,Standard,R,6/23/19,"9:40 a.m., 2:25 p.m., 7:15 p.m."
,Toy Story 4,Standard,G,6/21/19,"9:30 a.m., 11:50 a.m., 2:10 p.m., 4:30 p.m., 6:50 p.m., 9:10 p.m."
,Toy Story 4,Standard,G,6/21/19,"9:30 a.m., 11:50 a.m., 2:10 p.m., 4:30 p.m., 6:50 p.m., 9:10 p.m."
,Toy Story 4,Standard,G,6/22/19,"9:30 a.m., 11:50 a.m., 2:10 p.m., 4:30 p.m., 6:50 p.m., 9:10 p.m."
,Toy Story 4,Standard,G,6/22/19,"9:30 a.m., 11:50 a.m., 2:10 p.m., 4:30 p.m., 6:50 p.m., 9:10 p.m."
,Toy Story 4,Standard,G,6/23/19,"9:30 a.m., 11:50 a.m., 2:10 p.m., 4:30 p.m., 6:50 p.m., 9:10 p.m."
,Toy Story 4,Standard,G,6/23/19,"9:30 a.m., 11:50 a.m., 2:10 p.m., 4:30 p.m., 6:50 p.m., 9:10 p.m."
Regal Butler Town Center,Aladdin (2019),Standard,PG,6/21/19,"1:10 p.m., 4:10 p.m., 7:10 p.m., 10:15 p.m."
,Aladdin (2019),Standard,PG,6/21/19,"1:10 p.m., 4:10 p.m., 7:10 p.m., 10:15 p.m."
,Aladdin (2019),Standard,PG,6/22/19,"1:10 p.m., 4:10 p.m., 7:10 p.m., 10:15 p.m."
,Aladdin (2019),Standard,PG,6/22/19,"1:10 p.m., 4:10 p.m., 7:10 p.m., 10:15 p.m."
,Aladdin (2019),Standard,PG,6/23/19,"12 p.m., 4:25 p.m., 7:10 p.m., 10:15 p.m."
,Aladdin (2019),Standard,PG,6/23/19,"12 p.m., 4:25 p.m., 7:10 p.m., 10:15 p.m."
,Anna (2019),Standard,R,6/21/19,"10:35 a.m., 1:35 p.m., 4:30 p.m., 7:25 p.m., 10:30 p.m."
,Anna (2019),Standard,R,6/21/19,"10:35 a.m., 1:35 p.m., 4:30 p.m., 7:25 p.m., 10:30 p.m."
,Anna (2019),Standard,R,6/22/19,"10:35 a.m., 1:35 p.m., 4:30 p.m., 7:25 p.m., 10:30 p.m."
,Anna (2019),Standard,R,6/22/19,"10:35 a.m., 1:35 p.m., 4:30 p.m., 7:25 p.m., 10:30 p.m."
,Anna (2019),Standard,R,6/23/19,"10:35 a.m., 1:35 p.m., 4:30 p.m., 7:25 p.m., 10:30 p.m."
,Anna (2019),Standard,R,6/23/19,"10:35 a.m., 1:35 p.m., 4:30 p.m., 7:25 p.m., 10:30 p.m."
,Avengers: Endgame (2019),Standard,PG-13,6/21/19,"11:45 a.m., 2:30 p.m., 6:45 p.m., 9:35 p.m."
,Avengers: Endgame (2019),Standard,PG-13,6/21/19,"11:45 a.m., 2:30 p.m., 6:45 p.m., 9:35 p.m."
,Avengers: Endgame (2019),Standard,PG-13,6/22/19,"11:45 a.m., 2:30 p.m., 6:45 p.m., 9:35 p.m."
,Avengers: Endgame (2019),Standard,PG-13,6/22/19,"11:45 a.m., 2:30 p.m., 6:45 p.m., 9:35 p.m."
,Avengers: Endgame (2019),Standard,PG-13,6/23/19,"11:45 a.m., 2:30 p.m., 6:45 p.m., 9:35 p.m."
,Avengers: Endgame (2019),Standard,PG-13,6/23/19,"11:45 a.m., 2:30 p.m., 6:45 p.m., 9:35 p.m."
,Child's Play (2019),Standard,R,6/21/19,"12:20 p.m., 2:45 p.m., 5:25 p.m., 8 p.m., 10:35 p.m."
,Child's Play (2019),Standard,R,6/21/19,"12:20 p.m., 2:45 p.m., 5:25 p.m., 8 p.m., 10:35 p.m."
,Child's Play (2019),Standard,R,6/22/19,"12:20 p.m., 2:45 p.m., 5:25 p.m., 8 p.m., 10:35 p.m."
,Child's Play (2019),Standard,R,6/22/19,"12:20 p.m., 2:45 p.m., 5:25 p.m., 8 p.m., 10:35 p.m."
,Child's Play (2019),Standard,R,6/23/19,"12:20 p.m., 2:45 p.m., 5:25 p.m., 8 p.m., 10:35 p.m."
,Child's Play (2019),Standard,R,6/23/19,"12:20 p.m., 2:45 p.m., 5:25 p.m., 8 p.m., 10:35 p.m."
,Dark Phoenix,Standard,PG-13,6/21/19,"10:45 a.m., 4:30 p.m., 7:35 p.m., 10:25 p.m."
,Dark Phoenix,Standard,PG-13,6/21/19,"10:45 a.m., 4:30 p.m., 7:35 p.m., 10:25 p.m."
,Dark Phoenix,Standard,PG-13,6/22/19,"10:45 a.m., 4:30 p.m., 7:35 p.m., 10:25 p.m."
,Dark Phoenix,Standard,PG-13,6/22/19,"10:45 a.m., 4:30 p.m., 7:35 p.m., 10:25 p.m."
,Dark Phoenix,Standard,PG-13,6/23/19,"10:45 a.m., 7:35 p.m., 10:25 p.m."
,Dark Phoenix,Standard,PG-13,6/23/19,"10:45 a.m., 7:35 p.m., 10:25 p.m."
,Forrest Gump 25th Anniversary,Standard,,6/23/19,3 p.m.
,Forrest Gump 25th Anniversary,Standard,,6/23/19,3 p.m.
,Godzilla: King of the Monsters (2019),Standard,PG-13,6/21/19,"1:15 p.m., 7:15 p.m."
,Godzilla: King of the Monsters (2019),Standard,PG-13,6/21/19,"1:15 p.m., 7:15 p.m."
,Godzilla: King of the Monsters (2019),Standard,PG-13,6/22/19,"1:15 p.m., 7:15 p.m."
,Godzilla: King of the Monsters (2019),Standard,PG-13,6/22/19,"1:15 p.m., 7:15 p.m."
,Godzilla: King of the Monsters (2019),Standard,PG-13,6/23/19,"1:15 p.m., 7:15 p.m."
,Godzilla: King of the Monsters (2019),Standard,PG-13,6/23/19,"1:15 p.m., 7:15 p.m."
,Men in Black: International,Standard,PG-13,6/21/19,"11 a.m., 1:55 p.m., 4:20 p.m., 7:30 p.m., 10:20 p.m., 10:35 p.m."
