"Location","Theatre","Movie","Movie_Rating","Star_Rating","Show_Times","Movie_Format","Synopsis","Date","Searched_City"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","Bumblebee","PG-13","4.5","1:30p | 4:30p | 7:25p | 10:10p","Standard","On the run in the year 1987, Bumblebee the Autobot seeks refuge in a junkyard in a small California beach town. Charlie, on the brink of turning 18 years old and trying to find her place in the world, soon discovers the battle-scarred and broken Bumblebee. When Charlie revives him, she quickly learns that this is no ordinary yellow Volkswagen.","2019-01-23","Gainesville, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center 14","Mary Poppins Returns (2018)","PG","4.5","3:50p | 7:05p | 10:05p","Standard","Now an adult with three children, bank teller Michael Banks learns that his house will be repossessed in five days unless he can pay back a loan. His only hope is to find a missing certificate that shows proof of valuable shares that his father left him years earlier. Just as all seems lost, Michael and his sister receive the surprise of a lifetime when Mary Poppins -- the beloved nanny from their childhood -- arrives to save the day and take the Banks family on a magical, fun-filled adventure.","2019-01-23","High Springs, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","Cyrano de Bergerac presented by Comédie-Française","PG","3","7:00p","Standard","From award-winning director, stage and cinema actor Denis Podalydès, this classic tale of hijinx comes to cinemas nationwide from the renowned Comédie-Française stage on January 23 only. Cyrano de Bergerac, despite a deformed and enormous nose, proves to be a talented swordsman and a man of great wit. In a local pastry shop, the precious Roxane, with whom Cyrano is secretly in love, reveals to him that she loves a young nobleman named Christian. Blessed with all of life’s gifts except for romantic eloquence, Christian asks Cyrano to help him woo Roxane, secretly prompting him with romantic turns of phrase. She becomes enamored, but at the siege of Arras, Christian dies and asks Cyrano to reveal the truth to Roxane. Opera buffa, tragedy, romantic drama, symbolist poetry, slapstick comedy… all genres are called upon to give life to this staging of one of the most emblematic texts of the French repertoire!","2019-01-23","The Villages, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","On the Basis of Sex","PG-13","4.5","3:35p | 7:05p | 10:30p","Standard","The film tells an inspiring and spirited true story that follows young lawyer Ruth Bader Ginsburg as she teams with her husband Marty to bring a groundbreaking case before the U.S. Court of Appeals and overturn a century of gender discrimination. The feature will premiere in 2018 in line with Justice Ginsburg’s 25th anniversary on the Supreme Court.","2019-01-23","Ocala, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park Stadium 16","The Mule (2018)","R","4","3:15p | 7:10p | 10:05p","Standard","Broke, alone and facing foreclosure on his business, 90-year-old horticulturist Earl Stone takes a job as a drug courier for a Mexican cartel. His immediate success leads to easy money and a larger shipment that soon draws the attention of hard-charging DEA agent Colin Bates. When Earl's past mistakes start to weigh heavily on his conscience, he must decide whether to right those wrongs before law enforcement and cartel thugs catch up to him.","2019-01-23","High Springs, FL"
"1105 Alonzo Ave, Lady Lake, FL 32159","Rialto Theatre Spanish Springs Town Square","Mary Poppins Returns (2018)","PG","4.5","8:20a | 11:30a | 1:30p | 3:50p | 4:40p | 6:35p | 9:00p","Standard","Now an adult with three children, bank teller Michael Banks learns that his house will be repossessed in five days unless he can pay back a loan. His only hope is to find a missing certificate that shows proof of valuable shares that his father left him years earlier. Just as all seems lost, Michael and his sister receive the surprise of a lifetime when Mary Poppins -- the beloved nanny from their childhood -- arrives to save the day and take the Banks family on a magical, fun-filled adventure.","2019-01-23","The Villages, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","The Upside","PG-13","4.5","1:55p | 4:50p | 7:45p | 10:40p","Standard","Phillip is a wealthy quadriplegic who needs a caretaker to help him with his day-to-day routine in his New York penthouse. He decides to hire Dell, a struggling parolee who's trying to reconnect with his ex and his young son. Despite coming from two different worlds, an unlikely friendship starts to blossom as Dell and Phillip rediscover the joy of living life to the fullest.","2019-01-23","Ocala, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","Ben is Back","R","4","4:50p | 7:55p | 10:40p","Standard","19 year-old Ben Burns (Lucas Hedges) unexpectedly returns home to his family's suburban home on Christmas Eve morning. Ben’s mother, Holly (Julia Roberts), is relieved and welcoming but wary of her son staying clean. Over a turbulent 24 hours, new truths are revealed, and a mother's undying love for her son is tested as she does everything in her power to keep him safe. Ben is Back also stars Courtney B. Vance (The People V. O.J. Simpson: American Crime Story) and Kathryn Newton.","2019-01-23","Belleview, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","Spider-Man: Into the Spider-Verse","PG","5","1:40p | 4:20p","Standard","Spider-Man mentors a teenager from Brooklyn, N.Y., to become the next web-slinging superhero.","2019-01-23","Ocala, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood Stadium 16 & IMAX - Ocala","Dragon Ball Super: Broly","PG","5","7:30p | 2:00p","Standard","A planet destroyed, a powerful race reduced to nothing. After the devastation of Planet Vegeta, three Saiyans were scattered among the stars, destined for different fates. While two found a home on Earth, the third was raised with a burning desire for vengeance and developed an unbelievable power. And the time for revenge has come. Destinies collide in a battle that will shake the universe to its very core! Goku is back to training hard so he can face the most powerful foes the universes have to offer, and Vegeta is keeping up right beside him. But when they suddenly find themselves against an unknown Saiyan, they discover a terrible, destructive force. Locked into battle with the formidable Broly, Goku and Vegeta face their most dangerous opponent yet!","2019-01-23","Belleview, FL"
