"Location","Theatre","Movie","Movie_Rating","Star_Rating","Show_Times","Movie_Format","Synopsis","Date","Searched_City"
"2021 Silver Springs Blvd, Ocala, FL 34471","Ocala Center 6","Toy Story 4","G","5","12:30p | 1:00p | 3:30p | 4:00p | 6:30p | 7:00p | 9:30p | 9:45p","Standard","Woody, Buzz Lightyear and the rest of the gang embark on a road trip with Bonnie and a new toy named Forky. The adventurous journey turns into an unexpected reunion as Woody's slight detour leads him to his long-lost friend Bo Peep. As Woody and Bo discuss the old days, they soon start to realize that they're worlds apart when it comes to what they want from life as a toy.","2019-06-21","Ocala, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center","Aladdin (2019)","PG","4.5","1:10p | 4:10p | 7:10p | 10:15p","Standard","Aladdin is a lovable street urchin who meets Princess Jasmine, the beautiful daughter of the sultan of Agrabah. While visiting her exotic palace, Aladdin stumbles upon a magic oil lamp that unleashes a powerful, wisecracking, larger-than-life genie. As Aladdin and the genie start to become friends, they must soon embark on a dangerous mission to stop the evil sorcerer Jafar from overthrowing young Jasmine's kingdom.","2019-06-22","Gainesville, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Regal Celebration Pointe & RPX","Godzilla: King of the Monsters (2019)","PG-13","4","12:20p | 7:10p","Standard","The new story follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species—thought to be mere myths—rise again, they all vie for supremacy, leaving humanity’s very existence hanging in the balance.","2019-06-21","Gainesville, FL"
"2021 Silver Springs Blvd, Ocala, FL 34471","Ocala Center 6","Toy Story 4","G","5","12:30p | 1:00p | 3:30p | 4:00p | 6:30p | 7:00p | 9:30p | 9:45p","Standard","Woody, Buzz Lightyear and the rest of the gang embark on a road trip with Bonnie and a new toy named Forky. The adventurous journey turns into an unexpected reunion as Woody's slight detour leads him to his long-lost friend Bo Peep. As Woody and Bo discuss the old days, they soon start to realize that they're worlds apart when it comes to what they want from life as a toy.","2019-06-22","Ocala, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park","Child's Play (2019)","R","","12:15p | 2:50p | 5:30p | 8:00p | 10:30p","Standard","A contemporary re-imagining of the 1988 horror classic, Child's Play follows Karen (Aubrey Plaza), a single mother who gifts her son Andy (Gabriel Bateman) a Buddi doll, unaware of its more sinister nature.","2019-06-21","Gainesville, FL"
"10401-015 US Hwy. 441 South, Leesburg, FL 34788","AMC Lake Square 12","The Secret Life of Pets 2","PG","4.5","11:45a | 1:45p | 5:00p | 7:00p | 10:15p | 10:00a","Standard","Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.","2019-06-22","The Villages, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park","Rocketman","R","4.5","12:05p | 3:15p | 6:15p | 9:15p","Standard","The epic musical story of Elton John, his breakthrough years and his transformation from shy piano prodigy to international superstar. Set to his most beloved songs, witness how a small-town boy became one of the most iconic figures in pop history.","2019-06-21","Gainesville, FL"
"10401-015 US Hwy. 441 South, Leesburg, FL 34788","AMC Lake Square 12","Shaft (2019)","R","4.5","11:00a | 1:40p | 4:20p | 7:05p | 9:45p","Standard","John Shaft Jr. may be an FBI cyber security expert, but to uncover the truth behind his best friend's untimely death, he needs an education that only his dad can provide. Absent throughout his childhood, the legendary John Shaft agrees to help his son navigate the heroin-infested underbelly of Harlem, N.Y. Besides, the locked and loaded Shaft has his own score to settle -- both professional and personal.","2019-06-21","The Villages, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","John Wick: Chapter 3 – Parabellum","R","4.5","1:20p | 4:20p | 7:35p | 10:35p","Standard","Super-Assassin John Wick (Keanu Reeves) is on the run after killing a member of the international assassin’s guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.","2019-06-21","Belleview, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Child's Play (2019)","R","","12:00p | 2:40p | 5:00p | 7:40p | 10:20p","Standard","A contemporary re-imagining of the 1988 horror classic, Child's Play follows Karen (Aubrey Plaza), a single mother who gifts her son Andy (Gabriel Bateman) a Buddi doll, unaware of its more sinister nature.","2019-06-21","Belleview, FL"
