"Location","Theatre","Movie","Movie_Rating","Star_Rating","Show_Times","Movie_Format","Synopsis","Date","Searched_City"
"2021 Silver Springs Blvd, Ocala, FL 34471","Ocala Center 6","Men in Black: International","PG-13","","1:00p | 4:00p | 7:00p | 9:45p","Standard","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-15","Ocala, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Regal Celebration Pointe & RPX","Rocketman","R","4.5","1:20p | 4:40p | 7:50p | 10:45p","Standard","The epic musical story of Elton John, his breakthrough years and his transformation from shy piano prodigy to international superstar. Set to his most beloved songs, witness how a small-town boy became one of the most iconic figures in pop history.","2019-06-15","Gainesville, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center","Men in Black: International","PG-13","","1:00p | 1:45p | 4:45p | 7:00p | 7:45p | 10:35p","Standard","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-16","Gainesville, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Loopers: The Caddie's Long Walk","PG","","12:20p | 3:45p | 5:05p","Standard","Centuries old and enjoyed by millions, golf is more than a sport. Loopers: The Caddie's Long Walk explores the bond between golfer and caddie. Featuring never before seen stories, Loopers is an account of golf like you've never seen before.","2019-06-16","The Villages, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Men in Black: International","PG-13","","1:00p | 4:00p | 7:00p | 10:00p","IMAX","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-15","Belleview, FL"
"3101 SW 35th Blvd, Gainesville, FL 32608","Regal Butler Town Center","Shaft (2019)","R","","1:15p | 4:15p | 7:15p | 10:15p","Standard","John Shaft Jr. may be an FBI cyber security expert, but to uncover the truth behind his best friend's untimely death, he needs an education that only his dad can provide. Absent throughout his childhood, the legendary John Shaft agrees to help his son navigate the heroin-infested underbelly of Harlem, N.Y. Besides, the locked and loaded Shaft has his own score to settle -- both professional and personal.","2019-06-15","Gainesville, FL"
"2720 Brownwood Blvd., The Villages, FL 32163","Barnstorm Theater","The Hustle (2019)","PG-13","3.5","11:00a | 2:15p | 7:30p | 9:45p","Standard","","2019-06-14","The Villages, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Regal Celebration Pointe & RPX","The Secret Life of Pets 2","PG","4.5","12:00p | 12:30p | 2:30p | 3:05p | 4:50p | 5:25p | 7:30p | 9:50p","Standard","Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.","2019-06-15","High Springs, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","John Wick: Chapter 3 – Parabellum","R","4.5","1:10p | 4:20p | 7:35p | 10:35p","Standard","Super-Assassin John Wick (Keanu Reeves) is on the run after killing a member of the international assassin’s guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.","2019-06-14","Ocala, FL"
"2830 Hwy 90 West, Lake City, FL 32055","Regal UA Cinema 90","Men in Black: International","PG-13","","7:00p","Digital 3D","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-15","Lake City, FL"
"10401-015 US Hwy. 441 South, Leesburg, FL 34788","AMC Lake Square 12","Rocketman","R","4.5","10:05a | 12:55p | 3:50p | 6:40p | 9:30p","Standard","The epic musical story of Elton John, his breakthrough years and his transformation from shy piano prodigy to international superstar. Set to his most beloved songs, witness how a small-town boy became one of the most iconic figures in pop history.","2019-06-16","The Villages, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Shaft (2019)","R","","12:50p | 4:00p | 7:10p | 10:10p","Standard","John Shaft Jr. may be an FBI cyber security expert, but to uncover the truth behind his best friend's untimely death, he needs an education that only his dad can provide. Absent throughout his childhood, the legendary John Shaft agrees to help his son navigate the heroin-infested underbelly of Harlem, N.Y. Besides, the locked and loaded Shaft has his own score to settle -- both professional and personal.","2019-06-15","Ocala, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","The Secret Life of Pets 2","PG","4.5","9:30a | 11:40a | 1:50p | 4:00p | 6:15p | 8:30p","Standard","Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.","2019-06-16","The Villages, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","The Secret Life of Pets 2","PG","4.5","12:00p | 12:30p | 1:30p | 2:15p | 2:45p | 3:45p | 4:35p | 5:05p | 6:30p | 7:05p | 7:30p | 9:00p | 9:30p | 9:55p","Standard","Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.","2019-06-14","Ocala, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Loopers: The Caddie's Long Walk","PG","","12:20p | 3:45p | 5:05p","Standard","Centuries old and enjoyed by millions, golf is more than a sport. Loopers: The Caddie's Long Walk explores the bond between golfer and caddie. Featuring never before seen stories, Loopers is an account of golf like you've never seen before.","2019-06-16","Belleview, FL"
"2021 Silver Springs Blvd, Ocala, FL 34471","Ocala Center 6","Men in Black: International","PG-13","","1:00p | 4:00p | 7:00p | 9:45p","Standard","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-16","Ocala, FL"
"2830 Hwy 90 West, Lake City, FL 32055","Regal UA Cinema 90","Aladdin (2019)","PG","4.5","4:05p | 10:10p","Digital 3D","Aladdin is a lovable street urchin who meets Princess Jasmine, the beautiful daughter of the sultan of Agrabah. While visiting her exotic palace, Aladdin stumbles upon a magic oil lamp that unleashes a powerful, wisecracking, larger-than-life genie. As Aladdin and the genie start to become friends, they must soon embark on a dangerous mission to stop the evil sorcerer Jafar from overthrowing young Jasmine's kingdom.","2019-06-16","Lake City, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","The Souvenir","R","3.5","9:40a | 12:00p | 2:25p | 8:15p","Standard","","2019-06-15","The Villages, FL"
"1000 Old Mill Run, The Villages, FL 32162","Old Mill Playhouse","Poms","PG-13","4","9:30a | 11:45a | 2:15p | 4:30p | 6:45p","Standard","Martha is an introverted woman who moves to a retirement community that has shuffleboard, golf, bowling and other activities. Hoping to be left alone, she meets Sheryl, a fun-loving neighbor who insists that they become best pals. After coming out of her shell, Martha and her new friend decide to form a cheerleading squad with their fellow residents. As the two women hold auditions, they soon learn that it's never too late to follow your dreams, even when the odds are stacked against you.","2019-06-14","Belleview, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Regal Celebration Pointe & RPX","Men in Black: International","PG-13","","12:40p | 3:40p | 6:40p | 1:10p | 4:10p | 7:10p | 10:10p","Standard","The Men in Black have always protected the Earth from the scum of the universe. Is this new adventure, they tackled the biggest, most global threat to date: a mole in the Men in Black organization.","2019-06-15","Gainesville, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Regal Celebration Pointe & RPX","Aladdin (2019)","PG","4.5","12:15p | 3:25p | 6:30p | 9:35p","Standard","Aladdin is a lovable street urchin who meets Princess Jasmine, the beautiful daughter of the sultan of Agrabah. While visiting her exotic palace, Aladdin stumbles upon a magic oil lamp that unleashes a powerful, wisecracking, larger-than-life genie. As Aladdin and the genie start to become friends, they must soon embark on a dangerous mission to stop the evil sorcerer Jafar from overthrowing young Jasmine's kingdom.","2019-06-15","Gainesville, FL"
"4901 SW 31st Place, Gainesville, FL 32608","Regal Celebration Pointe & RPX","The Secret Life of Pets 2","PG","4.5","12:00p | 12:30p | 2:30p | 3:05p | 4:50p | 5:25p | 7:30p | 9:50p","Standard","Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.","2019-06-14","Gainesville, FL"
"10401-015 US Hwy. 441 South, Leesburg, FL 34788","AMC Lake Square 12","Late Night (2019)","R","4.5","10:45a | 1:50p | 5:05p | 8:10p | 10:45p","Standard","A late-night talk show host's world is turned upside down when she hires her first and only female staff writer. Originally intended to smooth over diversity concerns, her decision brings about unexpectedly hilarious consequences as the two women who are separated by culture and generation become united by their love of a biting punchline.","2019-06-16","The Villages, FL"
"3702 Newberry Road, Gainesville, FL 32607","Regal Royal Park","Shaft (2019)","R","","12:20p | 1:20p | 4:20p | 7:20p | 8:20p | 10:15p","Standard","John Shaft Jr. may be an FBI cyber security expert, but to uncover the truth behind his best friend's untimely death, he needs an education that only his dad can provide. Absent throughout his childhood, the legendary John Shaft agrees to help his son navigate the heroin-infested underbelly of Harlem, N.Y. Besides, the locked and loaded Shaft has his own score to settle -- both professional and personal.","2019-06-16","High Springs, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Aladdin (2019)","PG","4.5","12:20p | 12:45p | 3:20p | 4:10p | 6:45p | 7:20p | 9:45p | 10:25p","Standard","Aladdin is a lovable street urchin who meets Princess Jasmine, the beautiful daughter of the sultan of Agrabah. While visiting her exotic palace, Aladdin stumbles upon a magic oil lamp that unleashes a powerful, wisecracking, larger-than-life genie. As Aladdin and the genie start to become friends, they must soon embark on a dangerous mission to stop the evil sorcerer Jafar from overthrowing young Jasmine's kingdom.","2019-06-14","Belleview, FL"
"2801 SW 27th Avenue, Ocala, FL 34474","Regal Hollywood & IMAX - Ocala","Avengers: Endgame (2019)","PG-13","5","1:20p | 5:15p | 9:40p","Standard","Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply starts to dwindle. Meanwhile, the remaining Avengers -- Thor, Black Widow, Captain America and Bruce Banner -- must figure out a way to bring back their vanquished allies for an epic showdown with Thanos -- the evil demigod who decimated the planet and the universe.","2019-06-15","Ocala, FL"
